image,path,true_class,predicted_class,correct,predicted_confidence,true_class_probability,prob_akiec,prob_bcc,prob_bkl,prob_df,prob_mel,prob_nv,prob_vasc
ISIC_0028760.jpg,/workspace/damodar/mahek_sheetal/HAM10000_YOLO_OVERSAMPLED/test/mel/ISIC_0028760.jpg,mel,nv,False,1.0,2.3122428e-09,9.963705e-25,3.2492248e-24,2.3183423e-12,6.46316e-17,2.3122428e-09,1.0,7.612317e-12
ISIC_0030366.jpg,/workspace/damodar/mahek_sheetal/HAM10000_YOLO_OVERSAMPLED/test/mel/ISIC_0030366.jpg,mel,nv,False,0.9999801,1.9912492e-05,4.2639943e-14,7.501759e-12,5.9087157e-09,1.0339017e-15,1.9912492e-05,0.9999801,3.0634326e-16
ISIC_0028003.jpg,/workspace/damodar/mahek_sheetal/HAM10000_YOLO_OVERSAMPLED/test/mel/ISIC_0028003.jpg,mel,nv,False,0.99988866,0.000110416324,3.8750006e-13,2.528562e-13,9.3938627e-07,4.4109866e-10,0.000110416324,0.99988866,5.0862313e-14
ISIC_0030034.jpg,/workspace/damodar/mahek_sheetal/HAM10000_YOLO_OVERSAMPLED/test/mel/ISIC_0030034.jpg,mel,nv,False,0.9998603,8.61005e-05,1.41131004e-11,1.9735258e-09,3.360745e-05,4.516285e-06,8.61005e-05,0.9998603,1.5443346e-05
ISIC_0027480.jpg,/workspace/damodar/mahek_sheetal/HAM10000_YOLO_OVERSAMPLED/test/mel/ISIC_0027480.jpg,mel,nv,False,0.9997627,0.00023385235,2.134e-12,3.2683864e-12,3.397091e-06,4.3170418e-13,0.00023385235,0.9997627,3.81209e-08
ISIC_0033196.jpg,/workspace/damodar/mahek_sheetal/HAM10000_YOLO_OVERSAMPLED/test/mel/ISIC_0033196.jpg,mel,nv,False,0.99972564,0.00027074188,3.0657499e-09,1.1619175e-09,3.652557e-06,1.4280595e-10,0.00027074188,0.99972564,1.1604026e-09
ISIC_0024700.jpg,/workspace/damodar/mahek_sheetal/HAM10000_YOLO_OVERSAMPLED/test/mel/ISIC_0024700.jpg,mel,nv,False,0.9996902,0.00030951167,6.5700586e-13,1.2384341e-14,3.2525392e-07,1.1214507e-15,0.00030951167,0.9996902,2.8818163e-12
ISIC_0032433.jpg,/workspace/damodar/mahek_sheetal/HAM10000_YOLO_OVERSAMPLED/test/mel/ISIC_0032433.jpg,mel,nv,False,0.99841654,0.00125983,7.2644396e-10,2.2412432e-10,0.00032357548,4.15657e-12,0.00125983,0.99841654,2.0652509e-09
ISIC_0031406.jpg,/workspace/damodar/mahek_sheetal/HAM10000_YOLO_OVERSAMPLED/test/mel/ISIC_0031406.jpg,mel,nv,False,0.99770665,0.002289968,2.0542225e-10,1.1937014e-09,3.365449e-06,1.1133234e-08,0.002289968,0.99770665,3.183574e-09
ISIC_0033027.jpg,/workspace/damodar/mahek_sheetal/HAM10000_YOLO_OVERSAMPLED/test/mel/ISIC_0033027.jpg,mel,nv,False,0.99769104,0.0022622545,1.2206819e-11,1.9101411e-07,7.846432e-07,4.566516e-05,0.0022622545,0.99769104,6.5077374e-11
ISIC_0033653.jpg,/workspace/damodar/mahek_sheetal/HAM10000_YOLO_OVERSAMPLED/test/mel/ISIC_0033653.jpg,mel,nv,False,0.99646664,0.0035181572,8.122987e-12,1.8381007e-11,1.522269e-05,2.4467386e-09,0.0035181572,0.99646664,3.019297e-09
